name	born	died	url	era
Truid Aagesen	1593	1625	https://en.wikipedia.org/wiki/Truid_Aagesen	Renaissance
Joseph Abaco	1710	1805	https://en.wikipedia.org/wiki/Joseph_Abaco	Baroque-Classical
Antonio Maria Abbatini	1595	1680	https://en.wikipedia.org/wiki/Antonio_Maria_Abbatini	Baroque
Carl Friedrich Abel	1723	1787	https://en.wikipedia.org/wiki/Carl_Friedrich_Abel	Classical-era
Clamor Heinrich Abel	1634	1696	https://en.wikipedia.org/wiki/Clamor_Heinrich_Abel	Baroque
Peter Abelard	1079	1142	https://en.wikipedia.org/wiki/Peter_Abelard	url-Medieval
John Abell	1653	1724	https://en.wikipedia.org/wiki/John_Abell	Baroque
Girolamo Abos	1715	1760	https://en.wikipedia.org/wiki/Girolamo_Abos	Classical-era
Harriett Abrams	1758	1821	https://en.wikipedia.org/wiki/Harriett_Abrams	Classical-era
Henry Abyngdon	1418	1497	https://en.wikipedia.org/wiki/Henry_Abyngdon	Renaissance
Adolphe Adam	1803	1856	https://en.wikipedia.org/wiki/Adolphe_Adam	Romantic-era
Adam de la Halle	1237	1288	https://en.wikipedia.org/wiki/Adam_de_la_Halle	url-Medieval
Adam von Fulda	1445	1505	https://en.wikipedia.org/wiki/Adam_of_Fulda	Renaissance
Anton Cajetan Adlgasser	1729	1777	https://en.wikipedia.org/wiki/Anton_Cajetan_Adlgasser	Classical-era
Emmanuel Adriaenssen	1554	1604	https://en.wikipedia.org/wiki/Emmanuel_Adriaenssen	Renaissance-Baroque
John Adson	1587	1640	https://en.wikipedia.org/wiki/John_Adson	Renaissance-Baroque
Josina van Aerssen	1733	1797	https://en.wikipedia.org/wiki/Josina_van_Aerssen	Classical-era
Agostino Agazzari	1578	1640	https://en.wikipedia.org/wiki/Agostino_Agazzari	Renaissance-Baroque
Lodovico Agostini	1534	1590	https://en.wikipedia.org/wiki/Lodovico_Agostini	Renaissance
Paolo Agostino	1583	1629	https://en.wikipedia.org/wiki/Paolo_Agostino	Renaissance-Baroque
Johan Agrell	1701	1765	https://en.wikipedia.org/wiki/Johan_Agrell	Baroque-Classical
Alexander Agricola	1446	1506	https://en.wikipedia.org/wiki/Alexander_Agricola	Renaissance
Johann Friedrich Agricola	1720	1774	https://en.wikipedia.org/wiki/Johann_Friedrich_Agricola	Classical-era
Martin Agricola	1486	1556	https://en.wikipedia.org/wiki/Martin_Agricola	Renaissance
Sebastian Aguilera de Heredia	1561	1627	https://en.wikipedia.org/wiki/Sebastian_Aguilera_de_Heredia	Baroque
Johann Georg Ahle	1651	1706	https://en.wikipedia.org/wiki/Johann_Georg_Ahle	Baroque
Johann Rudolph Ahle	1625	1673	https://en.wikipedia.org/wiki/Johann_Rudolph_Ahle	Baroque
Gregor Aichinger	1565	1628	https://en.wikipedia.org/wiki/Gregor_Aichinger	Renaissance-Baroque
Karl Stefan Aichelburg	1782	1817	https://en.wikipedia.org/wiki/Karl_Stefan_Aichelburg	Classical-era
