name,born,died,url,spotify_id,spotify_related_artist_idsMary Anne à Beckett,1817,1863,https://en.wikipedia.org/wiki/Mary_Anne_%C3%A0_Beckett,,
Thorvald Aagaard,1877,1937,https://en.wikipedia.org/wiki/Thorvald_Aagaard,0ADoVmNmI0hMt0uOxo6cWX,1586:2241:1476:3007:1038:508:1713:1431
Truid Aagesen,1593,1625,https://en.wikipedia.org/wiki/Truid_Aagesen,2AvF8QoclnRWIVM8rPui43,
Heikki Aaltoila,1905,1992,https://en.wikipedia.org/wiki/Heikki_Aaltoila,1taBE3EiB73Ox3bwikIx2I,2587:1981:2300:2398:2412
Juhan Aavik,1884,1982,https://en.wikipedia.org/wiki/Juhan_Aavik,,
Evaristo Felice Dall,1675,1742,https://en.wikipedia.org/wiki/Evaristo_Felice_Dall%27Abaco,,
Joseph Abaco,1710,1805,https://en.wikipedia.org/wiki/Joseph_Abaco,,
Antonio Maria Abbatini,1595,1680,https://en.wikipedia.org/wiki/Antonio_Maria_Abbatini,41FlKs0WylkvCuESMw4HDi,
Gamal Abdel,1924,1988,https://en.wikipedia.org/wiki/Gamal_Abdel-Rahim,48EM2AeOHGaY6LmZxXFTNi,
Rosalina Abejo,1922,1991,https://en.wikipedia.org/wiki/Rosalina_Abejo,,
Carl Friedrich Abel,1723,1787,https://en.wikipedia.org/wiki/Carl_Friedrich_Abel,4tK1TZjoCeKTUr5flyNcxN,1816:1826:2330:2020:3450:1647:2964:900:555:1817:639:314
Clamor Heinrich Abel,1634,1696,https://en.wikipedia.org/wiki/Clamor_Heinrich_Abel,4jnFmReMVbxvFn8WicCaVK,1071:575:2804
Ludwig Abel,1835,1895,https://en.wikipedia.org/wiki/Ludwig_Abel,,
Peter Abelard,1079,1142,https://en.wikipedia.org/wiki/Peter_Abelard,7ItQ35Mxo31kplSuB3I0Be,2373:547:1036
Nicanor Abelardo,1893,1934,https://en.wikipedia.org/wiki/Nicanor_Abelardo,3xbxpt8o6EWFcQLc8D6J8k,
John Abell,1653,1724,https://en.wikipedia.org/wiki/John_Abell,1pvbOQLJxKFWzL8KJTEgV6,
Walter Abendroth,1896,1973,https://en.wikipedia.org/wiki/Walter_Abendroth,,
Johann Joseph Abert,1832,1915,https://en.wikipedia.org/wiki/Johann_Joseph_Abert,4gupVr5jnMtIblzNQF8kmo,326:3519
4th Earl of Abingdon,1740,1799,"https://en.wikipedia.org/wiki/Willoughby_Bertie,_4th_Earl_of_Abingdon",7FakQC59AzDZu4GJRV7HiB,
