name	born	died	url
Mary Anne à Beckett	1817	1863	https://en.wikipedia.org/wiki/Mary_Anne_%C3%A0_Beckett
Thorvald Aagaard	1877	1937	https://en.wikipedia.org/wiki/Thorvald_Aagaard
Truid Aagesen	1593	1625	https://en.wikipedia.org/wiki/Truid_Aagesen
Heikki Aaltoila	1905	1992	https://en.wikipedia.org/wiki/Heikki_Aaltoila
Juhan Aavik	1884	1982	https://en.wikipedia.org/wiki/Juhan_Aavik
Evaristo Felice Dall	1675	1742	https://en.wikipedia.org/wiki/Evaristo_Felice_Dall%27Abaco
Joseph Abaco	1710	1805	https://en.wikipedia.org/wiki/Joseph_Abaco
Antonio Maria Abbatini	1595	1680	https://en.wikipedia.org/wiki/Antonio_Maria_Abbatini
Gamal Abdel	1924	1988	https://en.wikipedia.org/wiki/Gamal_Abdel-Rahim
Rosalina Abejo	1922	1991	https://en.wikipedia.org/wiki/Rosalina_Abejo
Carl Friedrich Abel	1723	1787	https://en.wikipedia.org/wiki/Carl_Friedrich_Abel
Clamor Heinrich Abel	1634	1696	https://en.wikipedia.org/wiki/Clamor_Heinrich_Abel
Ludwig Abel	1835	1895	https://en.wikipedia.org/wiki/Ludwig_Abel
Peter Abelard	1079	1142	https://en.wikipedia.org/wiki/Peter_Abelard
Nicanor Abelardo	1893	1934	https://en.wikipedia.org/wiki/Nicanor_Abelardo
John Abell	1653	1724	https://en.wikipedia.org/wiki/John_Abell
Walter Abendroth	1896	1973	https://en.wikipedia.org/wiki/Walter_Abendroth
Johann Joseph Abert	1832	1915	https://en.wikipedia.org/wiki/Johann_Joseph_Abert
4th Earl of Abingdon	1740	1799	https://en.wikipedia.org/wiki/Willoughby_Bertie,_4th_Earl_of_Abingdon
Lora Aborn	1907	2005	https://en.wikipedia.org/wiki/Lora_Aborn
Girolamo Abos	1715	1760	https://en.wikipedia.org/wiki/Girolamo_Abos
Paul Abraham	1892	1960	https://en.wikipedia.org/wiki/Paul_Abraham
Maurice Abrahams	1883	1931	https://en.wikipedia.org/wiki/Maurice_Abrahams
Harriett Abrams	1758	1821	https://en.wikipedia.org/wiki/Harriett_Abrams
Alexander Abramsky	1898	1985	https://en.wikipedia.org/wiki/Alexander_Abramsky
Kornél Ábrányi	1822	1903	https://en.wikipedia.org/wiki/Korn%C3%A9l_%C3%81br%C3%A1nyi
Zequinha de Abreu	1880	1935	https://en.wikipedia.org/wiki/Zequinha_de_Abreu
Jean Absil	1893	1974	https://en.wikipedia.org/wiki/Jean_Absil
Franz Abt	1819	1885	https://en.wikipedia.org/wiki/Franz_Abt
Henry Abyngdon	1418	1497	https://en.wikipedia.org/wiki/Henry_Abyngdon
Filippo Acciaiuoli	1637	1700	https://en.wikipedia.org/wiki/Filippo_Acciaiuoli
Jean	1833	1900	https://en.wikipedia.org/wiki/Jean-Baptiste_Accolay
Joseph Achron	1886	1943	https://en.wikipedia.org/wiki/Joseph_Achron
Dieter Acker	1940	2006	https://en.wikipedia.org/wiki/Dieter_Acker
Marcial del Adalid	1826	1881	https://en.wikipedia.org/wiki/Marcial_del_Adalid_y_Gurr%C3%A9a
Adolphe Adam	1803	1856	https://en.wikipedia.org/wiki/Adolphe_Adam
Adam de la Halle	1237	1288	https://en.wikipedia.org/wiki/Adam_de_la_Halle
Adam von Fulda	1445	1505	https://en.wikipedia.org/wiki/Adam_of_Fulda
Alton Augustus Adams	1889	1987	https://en.wikipedia.org/wiki/Alton_Adams
Stephen Adams	1841	1913	https://en.wikipedia.org/wiki/Stephen_Adams_(composer)
Thomas Adams	1785	1858	https://en.wikipedia.org/wiki/Thomas_Adams_(musician)
Ella Adayevskaya	1846	1926	https://en.wikipedia.org/wiki/Ella_Adayevskaya
Richard Addinsell	1904	1977	https://en.wikipedia.org/wiki/Richard_Addinsell
John Addison	1765	1844	https://en.wikipedia.org/wiki/John_Addison_(1765%E2%80%931844)
John Addison	1920	1998	https://en.wikipedia.org/wiki/John_Addison
Vasif Adigezalov	1935	2006	https://en.wikipedia.org/wiki/Vasif_Adigozalov
Hugo Adler	1894	1955	https://en.wikipedia.org/wiki/Hugo_Chaim_Adler
Lawrence Cecil Adler	1914	2001	https://en.wikipedia.org/wiki/Larry_Adler
Anton Cajetan Adlgasser	1729	1777	https://en.wikipedia.org/wiki/Anton_Cajetan_Adlgasser
Olle Adolphson	1934	2004	https://en.wikipedia.org/wiki/Olle_Adolphson
Theodor W	1903	1969	https://en.wikipedia.org/wiki/Theodor_W._Adorno
Emmanuel Adriaenssen	1554	1604	https://en.wikipedia.org/wiki/Emmanuel_Adriaenssen
John Adson	1587	1640	https://en.wikipedia.org/wiki/John_Adson
Josina van Aerssen	1733	1797	https://en.wikipedia.org/wiki/Josina_van_Aerssen
Nikolay Afanas	1820	1898	https://en.wikipedia.org/wiki/Nikolay_Afanas%27yev
Zeca Afonso	1929	1987	https://en.wikipedia.org/wiki/Zeca_Afonso
Agostino Agazzari	1578	1640	https://en.wikipedia.org/wiki/Agostino_Agazzari
Milton Ager	1893	1979	https://en.wikipedia.org/wiki/Milton_Ager
François d	1684	1758	https://en.wikipedia.org/wiki/Fran%C3%A7ois_d%27Agincourt
Maria Teresa Agnesi	1720	1795	https://en.wikipedia.org/wiki/Maria_Teresa_Agnesi
Lodovico Agostini	1534	1590	https://en.wikipedia.org/wiki/Lodovico_Agostini
Paolo Agostino	1583	1629	https://en.wikipedia.org/wiki/Paolo_Agostino
Johan Agrell	1701	1765	https://en.wikipedia.org/wiki/Johan_Agrell
Alexander Agricola	1446	1506	https://en.wikipedia.org/wiki/Alexander_Agricola
Johann Friedrich Agricola	1720	1774	https://en.wikipedia.org/wiki/Johann_Friedrich_Agricola
Martin Agricola	1486	1556	https://en.wikipedia.org/wiki/Martin_Agricola
Dionisio Aguado	1784	1849	https://en.wikipedia.org/wiki/Dionisio_Aguado
Sebastian Aguilera de Heredia	1561	1627	https://en.wikipedia.org/wiki/Sebastian_Aguilera_de_Heredia
Eden Ahbez	1908	1995	https://en.wikipedia.org/wiki/Eden_Ahbez
Johann Georg Ahle	1651	1706	https://en.wikipedia.org/wiki/Johann_Georg_Ahle
Johann Rudolph Ahle	1625	1673	https://en.wikipedia.org/wiki/Johann_Rudolph_Ahle
Countess Maria Theresia Ahlefeldt	1755	1810	https://en.wikipedia.org/wiki/Maria_Theresia_Ahlefeldt
Jacob Niclas Ahlström	1805	1857	https://en.wikipedia.org/wiki/Jacob_Niclas_Ahlstr%C3%B6m
Ahn Eak	1906	1965	https://en.wikipedia.org/wiki/Ahn_Eak-tai
Oscar Ahnfelt	1813	1882	https://en.wikipedia.org/wiki/Oscar_Ahnfelt
Gregor Aichinger	1565	1628	https://en.wikipedia.org/wiki/Gregor_Aichinger
Karl Stefan Aichelburg	1782	1817	https://en.wikipedia.org/wiki/Karl_Stefan_Aichelburg
John Akar	1927	1975	https://en.wikipedia.org/wiki/John_Akar
Doris Akers	1923	1995	https://en.wikipedia.org/wiki/Doris_Akers
Necil Kazım Akses	1908	1999	https://en.wikipedia.org/wiki/Necil_Kaz%C4%B1m_Akses
Yasushi Akutagawa	1925	1989	https://en.wikipedia.org/wiki/Yasushi_Akutagawa
Jehan Alain	1911	1940	https://en.wikipedia.org/wiki/Jehan_Alain
Pierre Alamire	1470	1536	https://en.wikipedia.org/wiki/Pierre_Alamire
Jean	1815	1888	https://en.wikipedia.org/wiki/Jean-Delphin_Alard
Isaac Albéniz	1860	1909	https://en.wikipedia.org/wiki/Isaac_Alb%C3%A9niz
Mateo Pérez de Albéniz	1755	1831	https://en.wikipedia.org/wiki/Mateo_Alb%C3%A9niz
Pedro Albéniz y Basanta	1795	1855	https://en.wikipedia.org/wiki/Pedro_Alb%C3%A9niz
Pedro Alberch Vila	1517	1582	https://en.wikipedia.org/wiki/Pere_Alberch_Vila
Petur Alberg	1885	1940	https://en.wikipedia.org/wiki/Petur_Alberg
Pirro Albergati	1663	1735	https://en.wikipedia.org/wiki/Pirro_Albergati
Sebastián de Albero	1722	1756	https://en.wikipedia.org/w/index.php?title=Sebasti%C3%A1n_de_Albero&action=edit&redlink=1
Eugen d	1864	1932	https://en.wikipedia.org/wiki/Eugen_d%27Albert
Heinrich Albert	1604	1651	https://en.wikipedia.org/wiki/Heinrich_Albert_(composer)
Stephen Albert	1941	1992	https://en.wikipedia.org/wiki/Stephen_Albert
Domenico Alberti	1710	1740	https://en.wikipedia.org/wiki/Domenico_Alberti
Gasparo Alberti	1489	1560	https://en.wikipedia.org/wiki/Gasparo_Alberti
Giuseppe Matteo Alberti	1685	1751	https://en.wikipedia.org/wiki/Giuseppe_Matteo_Alberti
Innocentio Alberti	1535	1615	https://en.wikipedia.org/wiki/Innocentio_Alberti
Johann Friedrich Alberti	1642	1710	https://en.wikipedia.org/wiki/Johann_Friedrich_Alberti
Ignazio Albertini	1644	1685	https://en.wikipedia.org/wiki/Ignazio_Albertini
Joachim Albertini	1748	1812	https://en.wikipedia.org/wiki/Joachim_Albertini
Henrico Albicastro	1660	1730	https://en.wikipedia.org/wiki/Giovanni_Henrico_Albicastro
Tomaso Albinoni	1671	1751	https://en.wikipedia.org/wiki/Tomaso_Albinoni
Charles Albrecht	1817	1895	https://en.wikipedia.org/wiki/Charles_Albrecht
Johann Georg Albrechtsberger	1736	1809	https://en.wikipedia.org/wiki/Johann_Georg_Albrechtsberger
William Albright	1944	1998	https://en.wikipedia.org/wiki/William_Albright_(musician)
Macedonio Alcalá	1831	1869	https://en.wikipedia.org/wiki/Macedonio_Alcal%C3%A1
Luna Alcalay	1928	2012	https://en.wikipedia.org/wiki/Luna_Alcalay
José Bernardo Alcedo	1788	1878	https://en.wikipedia.org/wiki/Jos%C3%A9_Bernardo_Alcedo
Amancio Jacinto Alcorta	1805	1862	https://en.wikipedia.org/wiki/Amancio_Jacinto_Alcorta
Casimiro Alcorta	1840	1913	https://en.wikipedia.org/wiki/Casimiro_Alcorta
Henry Aldrich	1647	1710	https://en.wikipedia.org/wiki/Henry_Aldrich
Amanda Ira Aldridge	1866	1956	https://en.wikipedia.org/wiki/Amanda_Christina_Elizabeth_Aldridge
